block,trial,flankers,firstTime,firstValue,detectTime,detectValue,timeDifferent,oneTrigger,trigger
practice,1,neutral,1.1998128891,-0.937284463027,1.63580608368,-0.466689046907,0.43599319457999997,1,left
practice,2,neutral,0.699841022491,-0.968657490768,0.839851140976,-0.474532303842,0.140010118485,1,right
practice,3,neutral,0.764837026596,-0.960814233833,0.808832168579,-0.458845789972,0.04399514198300003,0,left/right
practice,4,incongruent,0.807590007782,-0.984344004639,0.839556932449,-0.419629505295,0.03196692466700002,1,left
practice,5,neutral,0.60072517395,-0.937284463027,0.668704032898,-0.474532303842,0.06797885894799993,1,right
practice,6,neutral,0.647768974304,-0.976500747703,0.695755958557,-0.498062074648,0.047986984252999965,1,left
practice,7,neutral,0.716876029968,-0.937284463027,0.816890001297,-0.482375560778,0.10001397132899992,1,right
practice,8,neutral,0.707045078278,-0.937284463027,0.743041038513,-0.443159276101,0.03599596023499996,1,right
practice,9,congruent,0.511859893799,-0.945127719962,0.547852993011,-0.482375560778,0.035993099212,1,right
practice,10,neutral,0.504944801331,-0.929441206091,0.532966852188,-0.42747276223,0.028022050857000047,1,left
practice,11,congruent,0.465062141418,-0.945127719962,0.501033067703,-0.42747276223,0.03597092628500004,1,left
practice,12,neutral,0.467574119568,-0.976500747703,0.503538131714,-0.364726706748,0.03596401214599998,1,right
practice,13,congruent,0.548285961151,-0.960814233833,0.588272094727,-0.41178624836,0.039986133576000005,1,right
practice,14,neutral,0.508209943771,-0.945127719962,0.55621099472,-0.482375560778,0.04800105094899998,1,right
practice,15,neutral,0.455375909805,-0.89806817835,0.483348846436,-0.458845789972,0.027972936631000034,1,right
practice,16,neutral,0.695996046066,-0.952970976897,0.739979028702,-0.419629505295,0.04398298263600009,1,left
practice,17,congruent,0.524740934372,-0.890224921415,0.552730083466,-0.419629505295,0.027989149094000076,1,left
practice,18,neutral,0.472903966904,-0.890224921415,0.500845909119,-0.41178624836,0.02794194221499996,1,left
practice,19,incongruent,0.533028841019,-0.945127719962,0.560958862305,-0.498062074648,0.027930021285999973,1,right
practice,20,incongruent,0.452610015869,-0.937284463027,0.480633020401,-0.458845789972,0.028023004531999962,1,right
practice,21,neutral,0.407531023026,-0.890224921415,0.435518980026,-0.419629505295,0.027987956999999952,1,left
practice,22,neutral,0.46905708313,-0.960814233833,0.497058868408,-0.372569963683,0.028001785278000013,1,right
practice,23,congruent,0.515825033188,-0.976500747703,0.655801057816,-0.498062074648,0.13997602462799996,0,left/right
practice,24,congruent,0.468534946442,-0.976500747703,0.496538877487,-0.466689046907,0.028003931044999986,1,left
practice,25,congruent,0.416864871979,-0.937284463027,0.444861888885,-0.498062074648,0.027997016905999983,1,right
practice,26,neutral,0.41693687439,-0.937284463027,0.4729180336,-0.482375560778,0.05598115921000002,1,right
practice,27,incongruent,0.48739695549,-0.913754692221,0.51139497757,-0.498062074648,0.02399802207999996,1,right
practice,28,incongruent,0.664052009583,-0.921597949156,0.692052841187,-0.474532303842,0.02800083160399991,1,left
practice,29,incongruent,0.491032838821,-0.945127719962,0.527030944824,-0.42747276223,0.03599810600300002,1,right
practice,30,incongruent,0.507550001144,-0.929441206091,0.535530090332,-0.41178624836,0.0279800891880001,1,left
practice,31,congruent,0.457044124603,-0.945127719962,0.589028120041,-0.419629505295,0.13198399543800005,1,right
practice,32,incongruent,0.640876054764,-0.937284463027,0.676906108856,-0.42747276223,0.036030054092,1,right
1,1,neutral,0.555994033813,-0.952970976897,0.584036111832,-0.388256477554,0.02804207801899994,1,left
1,2,congruent,0.428773880005,-0.960814233833,0.492769002914,-0.498062074648,0.063995122909,1,right
1,3,neutral,0.583650827408,-0.921597949156,0.611655950546,-0.41178624836,0.028005123137999965,1,left
1,4,incongruent,0.532993078232,-0.952970976897,0.568985939026,-0.419629505295,0.03599286079399999,1,left
1,5,congruent,0.483570098877,-0.921597949156,0.539541959763,-0.490218817713,0.055971860886000036,1,right
1,6,congruent,0.536300182343,-0.937284463027,0.576292991638,-0.443159276101,0.03999280929499993,1,left
1,7,incongruent,0.484976053238,-0.921597949156,0.528970956802,-0.490218817713,0.04399490356399999,1,right
1,8,congruent,0.528916835785,-0.984344004639,0.576893806458,-0.458845789972,0.047976970673,1,right
1,9,neutral,0.492117881775,-0.984344004639,0.532174110413,-0.451002533036,0.04005622863800001,1,left
1,10,incongruent,0.632981061935,-0.937284463027,0.684995889664,-0.490218817713,0.05201482772900001,0,left/right
