block,trial,flankers,firstTime,firstValue,detectTime,detectValue,timeDifferent,oneTrigger,trigger
practice,1,neutral,16.2315020561,-0.968657490768,16.3075091839,-0.466689046907,0.07600712780000052,1,left
practice,2,congruent,10.5288369656,-0.976500747703,10.5688700676,-0.490218817713,0.04003310200000065,1,left
practice,3,incongruent,0.828600883484,-0.952970976897,0.864608049393,-0.498062074648,0.036007165908999994,1,right
practice,4,neutral,1.2080988884,-0.968657490768,1.24409198761,-0.466689046907,0.03599309921000016,1,left
practice,6,neutral,71.4274511337,-0.929441206091,71.4834361076,-0.451002533036,0.055984973899995794,1,left
practice,7,neutral,0.639647960663,-0.984344004639,1.43161892891,-0.451002533036,0.7919709682470001,1,right
practice,8,incongruent,0.556091070175,-0.929441206091,0.604079961777,-0.466689046907,0.04798889160199993,0,left/right
practice,9,incongruent,1.18882203102,-0.952970976897,1.2648191452,-0.458845789972,0.07599711417999999,1,right
practice,10,congruent,0.695939064026,-0.937284463027,0.727955102921,-0.41178624836,0.03201603889499993,1,right
practice,11,neutral,0.619729995728,-0.952970976897,0.667724847794,-0.474532303842,0.04799485206599996,1,left
practice,12,congruent,0.526527881622,-0.937284463027,0.5625,-0.443159276101,0.03597211837799996,1,right
practice,13,neutral,0.689045906067,-0.913754692221,0.708984851837,-0.42747276223,0.019938945769999994,1,right
practice,14,congruent,0.520950078964,-0.945127719962,0.561005115509,-0.419629505295,0.04005503654499998,1,right
practice,15,neutral,0.486932992935,-0.945127719962,0.518908977509,-0.364726706748,0.03197598457400003,1,right
practice,16,neutral,0.715727806091,-0.945127719962,0.743721008301,-0.451002533036,0.027993202210000012,1,right
practice,17,incongruent,0.540610074997,-0.984344004639,0.564604997635,-0.498062074648,0.02399492263800007,1,right
practice,18,neutral,0.632353067398,-0.984344004639,0.6803150177,-0.435316019166,0.04796195030200001,1,left
practice,19,incongruent,0.660953044891,-0.960814233833,0.696960926056,-0.482375560778,0.03600788116499998,1,left
practice,20,congruent,0.579242944717,-0.929441206091,1.05123186111,-0.443159276101,0.471988916393,1,left
practice,21,neutral,0.644778966904,-0.960814233833,0.688774824142,-0.372569963683,0.043995857237999925,1,left
practice,22,congruent,0.605008125305,-0.952970976897,0.645005941391,-0.458845789972,0.03999781608599995,1,left
practice,23,neutral,0.54426407814,-0.976500747703,0.576263904572,-0.451002533036,0.031999826432000056,1,left
practice,24,incongruent,0.518920898438,-0.976500747703,0.562916994095,-0.372569963683,0.04399609565699991,1,left
practice,25,incongruent,0.818822860718,-0.952970976897,0.854820013046,-0.403942991424,0.03599715232799994,1,left
practice,26,congruent,0.47706413269,-0.945127719962,0.541058063507,-0.498062074648,0.06399393081700006,1,right
practice,27,congruent,0.555353879929,-0.937284463027,0.591340065002,-0.42747276223,0.035986185073,1,left
practice,28,neutral,0.487830162048,-0.952970976897,0.531794071198,-0.419629505295,0.043963909150000036,1,right
practice,29,neutral,0.624680042267,-0.968657490768,0.660664081573,-0.482375560778,0.035984039306000026,1,right
practice,30,neutral,0.399971008301,-0.945127719962,0.435969114304,-0.498062074648,0.03599810600299996,1,right
practice,31,neutral,0.584290981293,-0.976500747703,0.624264001846,-0.388256477554,0.039973020553000005,1,left
practice,32,incongruent,0.596845149994,-0.945127719962,0.632873058319,-0.458845789972,0.036027908325000024,1,left
1,1,congruent,0.621781110764,-0.945127719962,0.665801048279,-0.490218817713,0.044019937514999996,1,right
1,2,neutral,0.436459064484,-0.929441206091,0.464420080185,-0.396099734489,0.027961015700999958,1,left
1,3,incongruent,0.475130081177,-0.976500747703,0.519134044647,-0.443159276101,0.04400396346999996,1,left
1,4,incongruent,0.485169172287,-0.929441206091,0.549150943756,-0.498062074648,0.06398177146900003,1,right
1,5,incongruent,0.372916936874,-0.921597949156,0.400939941406,-0.490218817713,0.028023004531999962,1,right
1,6,neutral,0.476911067963,-0.976500747703,0.504895925522,-0.341196935942,0.027984857559000043,1,left
1,7,neutral,0.541119098663,-0.929441206091,0.565114974976,-0.42747276223,0.023995876313000042,1,right
1,8,incongruent,0.373108863831,-0.945127719962,0.405120849609,-0.451002533036,0.03201198577800002,1,right
1,9,neutral,0.415904045105,-0.937284463027,0.459880113602,-0.466689046907,0.043976068496999976,1,right
1,10,congruent,0.56746006012,-0.968657490768,0.607501029968,-0.41178624836,0.040040969847999985,1,left
1,11,incongruent,0.899593830109,-0.929441206091,0.935597896576,-0.435316019166,0.03600406646700005,0,left/right
1,12,neutral,0.440665006638,-0.945127719962,0.468677043915,-0.372569963683,0.028012037276999968,1,left
1,13,neutral,0.43664598465,-0.929441206091,0.464643955231,-0.333353679006,0.02799797058100001,1,left
1,14,incongruent,0.435819149017,-0.929441206091,0.463829994202,-0.451002533036,0.028010845185000022,1,left
1,15,neutral,0.604716062546,-0.937284463027,0.668703079224,-0.482375560778,0.063987016678,1,right
1,16,neutral,0.625139951706,-0.929441206091,1.22912406921,-0.317667165136,0.603984117504,1,left
1,17,congruent,0.651280879974,-0.89806817835,0.671279907227,-0.435316019166,0.019999027253000068,1,left
1,18,neutral,0.675882816315,-0.929441206091,0.695902824402,-0.325510422071,0.020020008086999996,1,left
1,19,congruent,0.473150014877,-0.89806817835,0.493121147156,-0.41178624836,0.019971132278999992,1,left
1,20,congruent,0.528702974319,-0.952970976897,1.06868696213,-0.458845789972,0.5399839878109999,1,left
1,21,congruent,0.504122018814,-0.976500747703,0.540129184723,-0.482375560778,0.036007165908999994,1,right
1,22,congruent,0.631982088089,-0.929441206091,0.671945095062,-0.498062074648,0.039963006972999926,1,right
