block,trial,flankers,firstTime,firstValue,detectTime,detectValue,timeDifferent
practice,1,neutral,1.24700403214,-0.952970976897,1.27502799034,-0.458845789972,0.02802395819999992
practice,2,incongruent,0.529078006744,-0.976500747703,0.577084064484,-0.419629505295,0.04800605774
practice,3,incongruent,0.556775093079,-0.921597949156,0.59278011322,-0.41178624836,0.036005020141000044
practice,4,neutral,0.54722905159,-0.945127719962,0.579180002213,-0.388256477554,0.03195095062300002
practice,5,neutral,0.452152967453,-0.937284463027,0.488150835037,-0.466689046907,0.03599786758400003
practice,6,neutral,0.607925891876,-0.992187261574,0.643915891647,-0.41178624836,0.035989999771000036
practice,7,neutral,0.443638086319,-0.952970976897,0.471627950668,-0.435316019166,0.027989864349000027
practice,8,congruent,0.421080112457,-0.976500747703,1.1731171608,-0.482375560778,0.7520370483429999
practice,9,neutral,0.604813098907,-0.929441206091,0.624808073044,-0.419629505295,0.01999497413700002
practice,10,incongruent,0.491950035095,-0.905911435286,0.519994974136,-0.474532303842,0.028044939041000028
practice,11,neutral,0.56893992424,-0.937284463027,0.612939834595,-0.443159276101,0.04399991035500006
practice,12,neutral,0.552603006363,-0.929441206091,0.608602046967,-0.490218817713,0.05599904060400007
practice,13,neutral,0.44527888298,-0.945127719962,0.50127696991,-0.474532303842,0.055998086930000024
practice,14,neutral,0.393280029297,-0.945127719962,0.445308208466,-0.498062074648,0.05202817916899999
practice,15,incongruent,0.393121957779,-0.960814233833,0.433134078979,-0.458845789972,0.04001212120000003
practice,16,neutral,0.508175134659,-0.88238166448,0.528180122375,-0.403942991424,0.02000498771600001
practice,17,neutral,0.436985969543,-0.945127719962,0.472979068756,-0.498062074648,0.03599309921299998
practice,18,congruent,0.553212881088,-0.968657490768,1.11720705032,-0.498062074648,0.563994169232
practice,19,congruent,0.525237798691,-0.929441206091,0.549211025238,-0.458845789972,0.02397322654700007
practice,20,congruent,0.437208890915,-0.945127719962,0.493189096451,-0.451002533036,0.05598020553600003
practice,21,incongruent,0.609054088593,-0.945127719962,0.661063194275,-0.498062074648,0.05200910568200001
practice,22,congruent,0.440723896027,-0.945127719962,1.11671996117,-0.498062074648,0.675996065143
practice,23,incongruent,0.503684997559,-0.960814233833,0.599677801132,-0.458845789972,0.095992803573
practice,24,neutral,0.575833082199,-0.968657490768,1.02781200409,-0.482375560778,0.4519789218910001
practice,25,neutral,0.532107830048,-0.937284463027,0.56809091568,-0.419629505295,0.035983085632000034
practice,26,neutral,0.532910108566,-0.945127719962,0.576872110367,-0.419629505295,0.04396200180100007
practice,27,congruent,0.911859989166,-0.937284463027,0.93184709549,-0.372569963683,0.019987106324000026
practice,28,congruent,0.576002120972,-0.945127719962,0.604009151459,-0.498062074648,0.02800703048700004
practice,29,congruent,0.619986057281,-0.921597949156,0.651997089386,-0.419629505295,0.032011032105000004
practice,30,neutral,0.641241073608,-0.929441206091,0.717253923416,-0.498062074648,0.07601284980800005
practice,31,incongruent,0.577058076859,-0.976500747703,0.657026052475,-0.451002533036,0.079967975616
practice,32,incongruent,0.441130876541,-0.929441206091,0.47712802887,-0.419629505295,0.03599715232899997
1,1,neutral,0.610943078995,-0.88238166448,0.630939006805,-0.474532303842,0.019995927810000036
1,2,neutral,0.512727975845,-0.952970976897,0.540711164474,-0.372569963683,0.027983188629000066
1,3,neutral,0.516968011856,-0.960814233833,0.536932945251,-0.356883449812,0.01996493339499994
1,4,neutral,0.419761896133,-0.952970976897,0.447732925415,-0.372569963683,0.02797102928199996
1,5,incongruent,0.484055042267,-0.929441206091,0.508053064346,-0.42747276223,0.023998022078999925
1,6,incongruent,0.441218852997,-0.913754692221,0.461208820343,-0.372569963683,0.019989967346000004
1,7,neutral,0.369267940521,-0.88238166448,0.389259815216,-0.458845789972,0.019991874695000023
1,8,congruent,0.392116069794,-0.945127719962,0.420104026794,-0.451002533036,0.027987957000000008
1,9,congruent,0.404855012894,-0.89806817835,0.424865961075,-0.498062074648,0.02001094818100002
1,10,neutral,0.597062826157,-0.937284463027,0.625056028366,-0.372569963683,0.027993202209000034
1,11,incongruent,0.505144834518,-0.913754692221,0.537149906158,-0.419629505295,0.032005071639999993
1,12,neutral,0.393199920654,-0.905911435286,0.421205043793,-0.466689046907,0.028005123139
1,13,neutral,0.54790687561,-0.945127719962,0.583917856216,-0.42747276223,0.036010980606000054
1,14,neutral,0.427327871323,-0.976500747703,0.979337930679,-0.435316019166,0.552010059356
1,15,neutral,0.456119060516,-0.945127719962,0.484115839005,-0.458845789972,0.027996778489000007
1,16,incongruent,0.424817085266,-0.905911435286,0.452800035477,-0.403942991424,0.027982950211
1,17,congruent,0.55298781395,-0.929441206091,0.580998897552,-0.41178624836,0.028011083601999998
1,18,congruent,0.49320101738,-0.905911435286,0.517158031464,-0.451002533036,0.023957014083999972
1,19,incongruent,0.54839015007,-0.88238166448,0.568402051926,-0.482375560778,0.02001190185599999
1,20,incongruent,0.490984201431,-0.929441206091,0.518992185593,-0.419629505295,0.028007984161999955
1,21,neutral,0.468749046326,-0.952970976897,0.524774074554,-0.490218817713,0.05602502822800004
1,22,neutral,0.416440963745,-0.945127719962,0.44445514679,-0.474532303842,0.028014183044999974
1,23,congruent,0.324125051498,-0.937284463027,0.344130039215,-0.482375560778,0.02000498771699999
1,24,neutral,0.399966955185,-0.89806817835,0.423973083496,-0.396099734489,0.02400612831100002
1,25,neutral,0.505119085312,-0.921597949156,0.525110006332,-0.419629505295,0.019990921019999996
1,26,incongruent,0.451596975327,-0.89806817835,0.471603155136,-0.458845789972,0.02000617980899999
1,27,congruent,0.365139961243,-0.890224921415,0.393163919449,-0.443159276101,0.028023958205999955
1,28,incongruent,0.512009859085,-0.929441206091,0.539991855621,-0.474532303842,0.027981996536000087
1,29,neutral,0.453220844269,-0.952970976897,0.489228010178,-0.498062074648,0.036007165908999994
1,30,neutral,0.679944038391,-0.89806817835,0.699939012527,-0.443159276101,0.019994974135999932
1,31,congruent,0.501284837723,-0.929441206091,0.529237985611,-0.419629505295,0.027953147887999963
1,32,congruent,0.37992811203,-0.921597949156,0.411920070648,-0.498062074648,0.03199195861800003
2,1,neutral,0.647370815277,-0.945127719962,0.9953789711,-0.388256477554,0.34800815582299993
2,2,incongruent,0.492830038071,-0.976500747703,0.528803110123,-0.419629505295,0.035973072051999955
2,3,neutral,0.505184173584,-0.945127719962,0.533143997192,-0.458845789972,0.02795982360799998
2,4,congruent,0.409054994583,-0.929441206091,0.445044994354,-0.498062074648,0.035989999771000036
2,5,neutral,0.437065839767,-0.905911435286,0.457062959671,-0.466689046907,0.01999711990400005
2,6,neutral,0.509159088135,-0.905911435286,0.537136077881,-0.498062074648,0.027976989746000047
2,7,incongruent,0.460157871246,-0.937284463027,1.05612182617,-0.419629505295,0.5959639549240001
2,8,congruent,0.437053918839,-0.976500747703,1.11705088615,-0.356883449812,0.6799969673109999
2,9,congruent,0.387506008148,-0.945127719962,0.415523052216,-0.349040192877,0.028017044067999985
2,10,neutral,0.360147953033,-0.921597949156,0.38011097908,-0.278450880459,0.01996302604700001
2,11,congruent,0.597202062607,-0.929441206091,0.617181062698,-0.403942991424,0.019979000090999954
2,12,neutral,0.548722982407,-0.945127719962,0.57673406601,-0.372569963683,0.028011083602999975
2,13,neutral,0.427326917648,-0.929441206091,0.455327033997,-0.419629505295,0.02800011634899996
2,14,congruent,0.433045148849,-0.976500747703,0.45305109024,-0.41178624836,0.020005941391000037
2,15,incongruent,0.429102897644,-0.89806817835,0.449083089828,-0.482375560778,0.01998019218399999
2,16,neutral,0.585078001022,-0.945127719962,0.62110209465,-0.403942991424,0.036024093627999965
2,17,incongruent,0.552047014236,-0.913754692221,0.57603096962,-0.435316019166,0.023983955384
2,18,neutral,1.10727190971,-0.937284463027,1.13526701927,-0.419629505295,0.027995109560000175
2,19,incongruent,0.531922101974,-0.984344004639,0.575929164886,-0.498062074648,0.04400706291199996
2,20,incongruent,0.400084972382,-0.984344004639,0.428076982498,-0.498062074648,0.027992010116
2,21,neutral,0.499658107758,-0.921597949156,0.919675111771,-0.388256477554,0.420017004013
2,22,incongruent,0.512083053589,-0.976500747703,0.532104969025,-0.466689046907,0.02002191543600007
