block,trial,flankers,firstTime,firstValue,maxTime,maxValue,timeDifferent
practice,1,neutral,0.8402531147,-0.945127719962,1.39622306824,-0.396099734489,0.5559699535400001
practice,2,incongruent,0.548099994659,-0.945127719962,0.636080980301,0.694112979522,0.08798098564200008
practice,3,congruent,0.481063127518,-0.952970976897,0.985052108765,0.113711966308,0.503988981247
practice,4,neutral,0.605092048645,-0.952970976897,0.689090013504,0.537247840815,0.08399796485900002
practice,5,neutral,0.519065856934,-0.968657490768,0.615100860596,0.388225959044,0.09603500366200002
practice,6,congruent,0.511869192123,-0.921597949156,0.587866067886,0.576464125492,0.07599687576300007
practice,7,neutral,0.427191019058,-0.937284463027,0.503193855286,0.231360820338,0.07600283622800003
practice,8,neutral,0.592581987381,-0.984344004639,0.680568933487,0.756859035005,0.087986946106
practice,9,neutral,0.493046045303,-0.929441206091,0.589101076126,0.474501785333,0.09605503082300004
practice,10,neutral,0.468368053436,-0.937284463027,0.560351848602,0.929410687582,0.09198379516600003
practice,11,neutral,0.419593095779,-0.827478865932,0.49156498909,0.41175572985,0.07197189331100001
practice,12,neutral,0.5602850914,-0.929441206091,0.636292934418,0.419598986785,0.0760078430179999
practice,13,incongruent,0.492063999176,-0.945127719962,0.572039842606,0.52940458388,0.07997584343000003
practice,14,neutral,0.379884958267,-0.819635608997,0.443894147873,0.450972014527,0.06400918960600005
practice,15,incongruent,0.520973920822,-0.921597949156,0.568957090378,-0.278450880459,0.047983169556000016
practice,16,incongruent,0.493218183517,-0.88238166448,0.561205148697,0.584307382427,0.06798696518000003
practice,17,congruent,0.428248167038,-0.921597949156,0.500243186951,0.443128757591,0.071995019913
practice,18,neutral,0.492321968079,-0.929441206091,0.560336112976,0.341166417432,0.06801414489699992
practice,19,incongruent,0.457175016403,-0.976500747703,0.533183097839,0.741172521134,0.07600808143599996
practice,20,neutral,0.39612197876,-0.945127719962,0.464100122452,0.615680410169,0.067978143692
practice,21,incongruent,0.436721086502,-0.874538407544,0.496704101562,0.498031556139,0.05998301506000003
practice,22,neutral,0.509257078171,-0.913754692221,0.597244977951,-0.0431531723991,0.08798789977999999
practice,23,incongruent,0.62399315834,-0.937284463027,0.70799612999,0.670583208716,0.08400297164999992
practice,24,neutral,0.463760852814,-0.976500747703,0.531731843948,0.27842036195,0.06797099113400001
practice,25,congruent,0.378792047501,-0.945127719962,0.446786880493,0.686269722587,0.06799483299200004
practice,26,neutral,0.409214019775,-0.976500747703,0.821218967438,0.866664632099,0.41200494766300005
practice,27,congruent,0.408445119858,-0.937284463027,0.464432001114,-0.0196234015931,0.05598688125599999
practice,28,congruent,0.344058036804,-0.890224921415,0.404036998749,0.733329264199,0.05997896194500002
practice,29,incongruent,0.451425075531,-0.945127719962,0.511395931244,-0.223548081912,0.05997085571299998
practice,30,congruent,0.456059932709,-0.929441206091,0.496064901352,-0.419629505295,0.04000496864299996
practice,31,congruent,0.348723888397,-0.976500747703,0.408719062805,0.0274361400189,0.05999517440799995
practice,32,neutral,0.495588064194,-0.88238166448,0.555589914322,0.192144535661,0.06000185012800002
1,1,neutral,0.484550952911,-0.937284463027,0.556529045105,0.749015778069,0.07197809219400003
1,2,incongruent,0.483454942703,-0.88238166448,0.539428949356,0.0509659108249,0.055974006653000064
1,3,neutral,0.464727878571,-0.890224921415,0.528724908829,0.333323160497,0.06399703025800002
1,4,congruent,0.344507932663,-0.968657490768,0.408489942551,-0.215704824976,0.06398200988800001
1,5,neutral,0.379465818405,-0.913754692221,0.435438871384,-0.129428998688,0.055973052979000015
1,6,congruent,0.373121023178,-0.929441206091,0.437096118927,0.145084994049,0.06397509574900001
1,7,congruent,0.351408958435,-0.937284463027,0.41140294075,0.309793389691,0.05999398231500003
1,8,neutral,0.496906042099,-0.890224921415,0.560874938965,0.356852931303,0.06396889686599994
1,9,neutral,0.476097106934,-0.905911435286,0.53209400177,-0.0666829432051,0.05599689483600001
1,10,congruent,0.416315793991,-0.88238166448,0.47230386734,-0.0274666585284,0.05598807334900002
1,11,neutral,0.372426986694,-0.913754692221,0.436431884766,0.309793389691,0.064004898072
1,12,incongruent,0.392286062241,-0.968657490768,0.456275939941,0.450972014527,0.06398987770000003
1,13,congruent,0.388527870178,-0.89806817835,0.452519893646,0.254890591144,0.06399202346799998
1,14,incongruent,0.471101999283,-0.89806817835,0.527093887329,0.121555223243,0.05599188804599997
1,15,incongruent,0.492729902267,-0.976500747703,0.556726932526,0.29410687582,0.06399703025900005
1,16,neutral,0.389115095139,-0.937284463027,0.445114135742,0.0823389385662,0.05599904060299998
1,17,neutral,0.464250087738,-0.874538407544,0.512233972549,-0.152958769494,0.04798388481100008
1,18,neutral,0.397136926651,-0.874538407544,0.453115940094,0.341166417432,0.05597901344300005
1,19,incongruent,0.456885099411,-0.937284463027,0.900857925415,0.874507889035,0.443972826004
1,20,congruent,0.403144836426,-0.835322122868,0.45915389061,-0.0039368877224,0.056009054183999984
1,21,incongruent,0.493227958679,-0.992187261574,0.561208963394,0.145084994049,0.06798100471499996
1,22,congruent,0.411623001099,-0.890224921415,0.467612981796,0.254890591144,0.05598998069700001
1,23,neutral,0.380513906479,-0.929441206091,0.448486804962,0.239204077273,0.06797289848299998
1,24,incongruent,0.449183940887,-0.89806817835,0.505173921585,-0.0509964293344,0.055989980697999986
1,25,neutral,0.680088043213,-0.827478865932,0.744080066681,0.678426465651,0.06399202346800004
1,26,neutral,0.461319923401,-0.945127719962,0.517317056656,-0.0274666585284,0.05599713325500005
