block,trial,flankers,firstTime,firstValue,detectTime,detectValue,timeDifferent
practice,1,neutral,1.19952011108,-0.905911435286,1.21549701691,-0.466689046907,0.015976905829999888
practice,2,incongruent,0.471774816513,-0.976500747703,0.483779907227,-0.325510422071,0.012005090713999966
practice,3,incongruent,0.883505105972,-0.466689046907,0.891509056091,-0.145115512558,0.008003950118999903
practice,4,neutral,0.492618083954,-0.890224921415,0.508616924286,-0.490218817713,0.015998840332000053
practice,5,congruent,0.651805877686,-0.874538407544,0.659786939621,-0.42747276223,0.007981061935000033
practice,6,neutral,0.701053142548,-0.968657490768,0.717018127441,-0.498062074648,0.015964984893000023
practice,7,neutral,0.856863021851,-0.843165379803,0.8608751297,-0.419629505295,0.004012107848999968
practice,8,neutral,0.871172904968,-0.851008636738,0.891157865524,-0.29413739433,0.019984960555999964
practice,9,neutral,0.632159948349,-0.945127719962,0.648130893707,-0.474532303842,0.015970945358000033
practice,10,incongruent,0.391139984131,-0.788262581256,0.39910697937,-0.474532303842,0.007966995239000019
practice,11,congruent,0.700257778168,-0.929441206091,0.708242893219,-0.403942991424,0.00798511505100008
practice,12,congruent,0.500580072403,-0.968657490768,0.512595176697,-0.278450880459,0.0120151042940001
practice,13,congruent,0.471815824509,-0.788262581256,0.479823827744,-0.443159276101,0.008008003235000005
practice,14,congruent,0.576903104782,-0.741203039644,0.580876111984,-0.349040192877,0.003973007202000001
practice,15,incongruent,0.563873052597,-0.905911435286,0.575832843781,-0.356883449812,0.011959791183999924
practice,16,incongruent,0.881044864655,-0.913754692221,0.893041849136,-0.451002533036,0.011996984481000061
practice,17,congruent,0.695950984955,-0.968657490768,1.187926054,-0.443159276101,0.4919750690450001
practice,18,congruent,0.748000860214,-0.937284463027,0.771974086761,-0.435316019166,0.02397322654699996
practice,19,neutral,0.604325056076,-0.976500747703,0.624323129654,-0.333353679006,0.019998073578000097
practice,20,incongruent,0.668893814087,-0.960814233833,0.68088388443,-0.458845789972,0.011990070343000037
practice,21,neutral,0.632612943649,-0.945127719962,0.648625850677,-0.41178624836,0.016012907027999956
practice,22,neutral,0.652297973633,-0.788262581256,0.660279989243,-0.333353679006,0.007982015610000004
practice,23,neutral,0.615877151489,-0.921597949156,0.623841047287,-0.482375560778,0.007963895797999943
practice,24,congruent,0.751269102097,-0.701986754967,0.755258083344,-0.356883449812,0.003988981246999979
practice,25,neutral,0.570647954941,-0.851008636738,0.582651138306,-0.490218817713,0.012003183365000059
practice,26,neutral,0.500343799591,-0.835322122868,0.508323907852,-0.466689046907,0.00798010826100004
practice,27,neutral,0.875615119934,-0.803949095126,0.887596130371,-0.325510422071,0.011981010437000061
practice,28,incongruent,0.880952119827,-0.937284463027,0.908926010132,-0.403942991424,0.027973890305000082
practice,29,incongruent,0.597028017044,-0.866695150609,0.609034061432,-0.325510422071,0.012006044388000015
practice,30,neutral,0.648797988892,-0.960814233833,0.660784959793,-0.364726706748,0.011986970900999983
practice,31,neutral,0.508327960968,-0.858851893674,0.520297050476,-0.41178624836,0.011969089507999908
practice,32,neutral,0.563811779022,-0.851008636738,0.575757980347,-0.458845789972,0.011946201325000017
1,1,neutral,0.578896999359,-0.992187261574,0.626882076263,-0.498062074648,0.047985076904
1,2,congruent,0.688976049423,-0.717673268838,0.696982145309,-0.317667165136,0.008006095886000097
1,3,neutral,0.60880112648,-0.811792352062,0.624781131744,-0.301980651265,0.015980005264000008
1,4,neutral,0.485018014908,-0.819635608997,0.501001119614,-0.333353679006,0.01598310470599995
1,5,congruent,0.523766040802,-0.945127719962,0.543751955032,-0.419629505295,0.019985914230000068
1,6,incongruent,0.55598783493,-0.851008636738,0.571995019913,-0.443159276101,0.01600718498299991
1,7,neutral,0.597037792206,-0.952970976897,1.03300285339,-0.380413220618,0.435965061184
1,8,neutral,0.567893028259,-0.858851893674,0.587867975235,-0.451002533036,0.019974946975999996
1,9,neutral,0.491207122803,-0.960814233833,0.527182102203,-0.42747276223,0.035974979399999996
1,10,congruent,0.548099994659,-0.921597949156,0.560122966766,-0.325510422071,0.012022972107000096
1,11,neutral,0.520843029022,-0.921597949156,0.55683016777,-0.435316019166,0.03598713874800008
1,12,neutral,0.625035047531,-0.952970976897,0.641039848328,-0.333353679006,0.01600480079699995
1,13,neutral,0.643568992615,-0.835322122868,0.66358590126,-0.403942991424,0.020016908645000053
1,14,incongruent,0.611359119415,-0.866695150609,0.631364107132,-0.419629505295,0.02000498771699999
1,15,neutral,0.604699134827,-0.78041932432,0.620697021484,-0.333353679006,0.01599788665699997
1,16,neutral,0.548432826996,-0.874538407544,0.568426847458,-0.396099734489,0.01999402046199994
1,17,incongruent,0.764210939407,-0.843165379803,0.780231952667,-0.466689046907,0.01602101325999994
1,18,congruent,0.692245960236,-0.874538407544,0.716202974319,-0.435316019166,0.023957014082999994
1,19,neutral,0.533020019531,-0.921597949156,1.32499790192,-0.403942991424,0.791977882389
1,20,incongruent,0.575717926025,-0.866695150609,0.591696977615,-0.458845789972,0.015979051589999904
