block,trial,flankers,firstTime,firstValue,detectTime,detectValue,timeDifferent,oneTrigger,trigger
practice,1,congruent,2.56593585014,-0.921597949156,2.58595180511,-0.239234595782,0.020015954970000305,1,left
practice,2,congruent,0.652631044388,-0.905911435286,0.676620006561,-0.443159276101,0.02398896217299995,1,right
practice,3,neutral,0.548957109451,-0.945127719962,0.580955982208,-0.419629505295,0.031998872757000085,1,left
practice,4,incongruent,0.592149019241,-0.937284463027,0.620135068893,-0.443159276101,0.02798604965199991,1,right
practice,5,incongruent,0.576849937439,-0.945127719962,0.612850904465,-0.451002533036,0.036000967025999975,1,right
practice,6,neutral,0.504959106445,-0.968657490768,0.532941102982,-0.396099734489,0.027981996537000065,1,right
practice,7,neutral,0.704819202423,-0.945127719962,0.732764005661,-0.364726706748,0.02794480323799997,1,right
practice,8,neutral,0.348811864853,-0.984344004639,0.428818941116,-0.396099734489,0.08000707626300002,1,right
practice,9,neutral,0.532857179642,-0.929441206091,0.552826166153,-0.349040192877,0.019968986510999986,1,left
practice,10,congruent,0.407881975174,-0.929441206091,0.435926914215,-0.419629505295,0.028044939041000028,1,left
practice,11,neutral,0.564628124237,-0.929441206091,0.584599018097,-0.42747276223,0.01997089385999995,1,left
practice,12,incongruent,0.60506105423,-0.945127719962,0.645030021667,-0.458845789972,0.03996896743699996,1,right
practice,13,neutral,0.620693922043,-0.945127719962,0.668703794479,-0.458845789972,0.04800987243599997,1,right
practice,14,neutral,0.696702957153,-0.960814233833,0.744689941406,-0.482375560778,0.047986984252999965,1,left
practice,15,neutral,0.479258060455,-0.952970976897,0.511266946793,-0.41178624836,0.032008886337999976,1,right
practice,16,neutral,0.463802099228,-0.921597949156,0.491799116135,-0.372569963683,0.027997016907000016,1,left
practice,17,congruent,0.514633893967,-0.945127719962,0.54261302948,-0.42747276223,0.02797913551300002,1,right
practice,18,neutral,0.54465007782,-0.945127719962,0.588684082031,-0.403942991424,0.04403400421100001,1,right
practice,19,neutral,0.447418928146,-0.929441206091,0.483398914337,-0.482375560778,0.03597998619100001,1,right
practice,20,incongruent,0.596790790558,-0.976500747703,0.660757780075,-0.42747276223,0.06396698951699997,0,left/right
practice,21,incongruent,0.483728885651,-0.929441206091,0.527719020844,-0.42747276223,0.043990135193000046,1,left
practice,22,congruent,0.463487863541,-0.945127719962,0.511509895325,-0.458845789972,0.048022031784,1,right
practice,23,incongruent,0.587996959686,-0.921597949156,0.639998912811,-0.451002533036,0.052001953125,1,left
practice,24,congruent,0.608012199402,-0.945127719962,0.664044141769,-0.498062074648,0.05603194236699993,1,right
practice,25,congruent,0.548790931702,-0.937284463027,0.600782871246,-0.435316019166,0.051991939544000054,1,left
practice,26,congruent,0.580905914307,-0.929441206091,0.632931947708,-0.451002533036,0.05202603340099998,1,left
practice,27,neutral,0.5037150383,-0.945127719962,0.587713003159,-0.466689046907,0.08399796485900002,1,right
practice,28,incongruent,0.416958093643,-0.945127719962,0.464937210083,-0.41178624836,0.04797911643999997,1,left
practice,29,neutral,0.448956012726,-0.960814233833,0.500941991806,-0.396099734489,0.05198597907999997,1,right
practice,30,neutral,0.511162042618,-0.952970976897,0.54718208313,-0.482375560778,0.03602004051200003,1,right
practice,31,incongruent,0.580762147903,-0.913754692221,0.608761072159,-0.372569963683,0.027998924256000035,0,left/right
practice,32,neutral,0.424416065216,-0.945127719962,0.564419984818,-0.443159276101,0.14000391960200004,1,right
1,1,incongruent,0.668536901474,-0.921597949156,0.688513994217,-0.443159276101,0.01997709274299997,0,left/right
1,2,incongruent,0.678456068039,-0.945127719962,0.72247004509,-0.482375560778,0.044013977050999964,1,left
1,3,neutral,0.492623090744,-0.921597949156,0.520622014999,-0.364726706748,0.027998924254999946,1,left
1,4,congruent,0.416708946228,-0.945127719962,0.456705093384,-0.451002533036,0.03999614715600003,1,left
1,5,incongruent,0.647565841675,-0.952970976897,0.679529905319,-0.42747276223,0.03196406364400006,1,left
1,6,neutral,0.480913877487,-0.945127719962,0.676899909973,-0.435316019166,0.195986032486,1,right
1,7,incongruent,0.551285982132,-0.992187261574,0.587275028229,-0.451002533036,0.035989046097000044,1,right
1,8,congruent,0.518945932388,-0.913754692221,0.574945926666,-0.490218817713,0.055999994277999954,1,left
1,9,neutral,0.815145969391,-0.945127719962,0.843188047409,-0.451002533036,0.02804207801799996,1,left
1,10,neutral,0.632730960846,-0.976500747703,0.660732984543,-0.435316019166,0.028002023697,1,left
1,11,neutral,0.531555891037,-0.945127719962,0.587555885315,-0.458845789972,0.055999994278000065,1,right
1,12,neutral,0.696806192398,-0.905911435286,0.724812984467,-0.419629505295,0.02800679206900003,1,left
1,13,congruent,0.427982807159,-0.952970976897,0.46396780014,-0.435316019166,0.035984992981,1,right
1,14,congruent,0.455821990967,-0.945127719962,0.483813047409,-0.41178624836,0.027991056442000006,1,right
1,15,neutral,0.476830005646,-0.937284463027,0.520831823349,-0.498062074648,0.044001817703000046,1,right
1,16,congruent,0.447806119919,-0.952970976897,0.483787059784,-0.41178624836,0.035980939865000006,1,right
1,17,congruent,0.52724981308,-0.945127719962,0.567226886749,-0.419629505295,0.03997707366900005,1,right
1,18,neutral,0.519658088684,-0.945127719962,0.555637121201,-0.435316019166,0.035979032516999965,1,right
1,19,neutral,0.408814907074,-0.929441206091,0.444841861725,-0.396099734489,0.03602695465100003,1,right
1,20,incongruent,0.596118927002,-0.945127719962,0.632126092911,-0.419629505295,0.036007165908999994,1,right
1,21,incongruent,1.02368402481,-0.905911435286,1.04367995262,-0.349040192877,0.019995927809999925,0,left/right
1,22,incongruent,0.651155233383,-0.945127719962,0.687149047852,-0.396099734489,0.035993814469000074,1,right
1,23,neutral,0.40883898735,-0.937284463027,0.456814050674,-0.466689046907,0.04797506332399998,1,right
1,24,neutral,0.631552934647,-0.945127719962,0.667523860931,-0.451002533036,0.035970926284000004,1,left
1,25,neutral,0.499677181244,-0.937284463027,0.53168296814,-0.482375560778,0.03200578689600003,1,right
1,26,neutral,0.563416004181,-0.921597949156,0.599417924881,-0.458845789972,0.03600192069999997,1,left
1,27,neutral,0.603306055069,-0.945127719962,0.631290912628,-0.498062074648,0.02798485755899993,1,right
1,28,congruent,0.48473906517,-0.905911435286,0.51273393631,-0.435316019166,0.02799487113999999,1,left
1,29,incongruent,0.660966157913,-0.921597949156,0.680960178375,-0.419629505295,0.01999402046200005,1,right
1,30,neutral,0.416836977005,-0.937284463027,0.444821119308,-0.333353679006,0.027984142303000004,1,right
1,31,neutral,0.643899917603,-0.890224921415,0.671855926514,-0.42747276223,0.02795600891099992,1,left
1,32,congruent,0.6042740345,-0.929441206091,0.624265909195,-0.482375560778,0.019991874695000078,1,left
2,1,incongruent,0.724771976471,-0.976500747703,0.760756969452,-0.42747276223,0.035984992981,1,left
2,2,neutral,0.603691101074,-0.89806817835,0.623674154282,-0.364726706748,0.01998305320799998,1,left
2,3,congruent,0.456890106201,-0.952970976897,0.492870092392,-0.490218817713,0.03597998619100001,1,right
2,4,congruent,0.436553001404,-0.929441206091,0.464548110962,-0.419629505295,0.027995109557999998,1,left
2,5,congruent,0.455621957779,-0.952970976897,0.503627061844,-0.466689046907,0.04800510406499997,1,right
2,6,neutral,0.554834842682,-0.937284463027,0.58281493187,-0.364726706748,0.02798008918799999,1,right
